epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,781.447,0.21764,0.23552,0.84469,0.99867,0.99981,0.995,0.98805,0.12371,0.07856,0.69238,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,1030.53,0.21636,0.2352,0.84579,0.99808,1,0.995,0.98788,0.11844,0.07684,0.68982,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1278.75,0.21397,0.23715,0.84355,0.99892,0.99992,0.995,0.98968,0.11491,0.07509,0.69111,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,1649.28,0.21161,0.23661,0.84473,0.99867,0.99999,0.995,0.98907,0.11904,0.07691,0.69149,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,1877.69,0.20627,0.2299,0.84269,0.99825,1,0.995,0.98934,0.11427,0.07468,0.68976,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2121.92,0.20544,0.23316,0.84191,0.8471,0.86899,0.94597,0.87491,0.41272,0.64435,0.81661,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2356.54,0.20729,0.24447,0.843,0.99808,1,0.995,0.98955,0.11266,0.07281,0.68839,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2581.21,0.2035,0.24236,0.84415,0.99878,1,0.995,0.98996,0.11108,0.07011,0.68867,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2788.09,0.20353,0.25964,0.84311,0.97583,0.98547,0.99413,0.98321,0.17739,0.14813,0.7064,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3007.04,0.1999,0.26487,0.84159,0.03759,0.00465,0.02166,0.01212,4.19809,6.3663,4.76812,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3221.31,0.20166,0.26518,0.84121,0.44185,0.00111,0.00092,0.00061,3.98666,7.10866,5.3565,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3441.44,0.19765,0.26646,0.84153,0.23323,0.31533,0.28897,0.21562,1.90717,4.72955,1.89317,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3654.09,0.19796,0.26465,0.84222,0.62501,0.37786,0.49133,0.2393,1.96715,3.49643,1.93681,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3804.33,0.19973,0.27792,0.84307,0.17116,0.70282,0.34198,0.22728,1.75013,3.58116,1.67634,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3944.64,0.19484,0.27289,0.84101,0.70981,0.0112,0.01508,0.00327,3.69516,5.2512,4.46622,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4088.09,0.19306,0.27094,0.84197,0.93288,0.03043,0.07737,0.03331,3.39534,4.52796,3.81878,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4230.09,0.19243,0.26587,0.83969,0.07309,0.13712,0.06611,0.02402,3.07048,4.75731,3.92114,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4370.43,0.19213,0.25136,0.83943,0.07948,0.42295,0.15358,0.072,2.71284,3.98683,3.22385,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4509.89,0.19037,0.23988,0.83981,0.1509,0.43258,0.26454,0.12954,2.42233,4.24641,2.38261,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4643.34,0.18885,0.24164,0.83859,0.85394,0.1734,0.26462,0.10573,2.63795,4.4806,2.51513,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4779.56,0.18964,0.24405,0.83965,0.75867,0.15905,0.26724,0.10505,2.79097,4.79171,2.8125,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4911.37,0.18946,0.24431,0.8418,0.21299,0.3424,0.32067,0.14979,2.71481,4.35725,2.75712,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5048.38,0.20399,0.29316,0.84042,0.07581,0.24244,0.13685,0.06572,2.56621,4.58677,2.6401,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5185.92,0.25288,0.44286,0.8562,0.00032,0.0134,0.00037,6e-05,3.59861,6.31691,4.21158,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5327.43,0.27576,0.5554,0.86184,6e-05,0.00745,3e-05,0,3.68925,6.14628,4.7391,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5464.95,0.27662,0.5798,0.86068,0,0,0,0,2.63546,6.82919,3.99242,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5601.74,0.25334,0.55397,0.85388,0,0,0,0,3.45528,6.36803,4.65392,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5748.07,0.25184,0.58521,0.85284,0,0,0,0,3.81604,6.16087,4.95268,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
